,Rule,Name,Alert,Conditions to be present on the encounter,Comments,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Medicare does not reimburse for preventive E/M codes,Preventive Codes - Medicare,Medicare does not reimburse preventive codes,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [99386] OR CPT Code is [99385] OR CPT Code is [99387] OR CPT Code is [99395] OR CPT Code is [99396] OR CPT Code is [99397] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,The administration code for influenza vaccine for Medicare is G0008,Medicare Influenza Vaccine,The administration code for influenza vaccine for Medicare is G0008,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [90630] OR CPT Code is [90653] OR CPT Code is [90654] OR CPT Code is [90655] OR CPT Code is [90656] OR CPT Code is [90657] OR CPT Code is [90660] OR CPT Code is [90661] OR CPT Code is [90662] OR CPT Code is [90672] OR CPT Code is [90673] OR CPT Code is [90674] OR CPT Code is [90682] OR CPT Code is [90685] OR CPT Code is [90686] OR CPT Code is [90687] OR CPT Code is [90688] OR CPT Code is [90756] OR CPT Code is [Q2034] OR CPT Code is [Q2035] OR CPT Code is [Q2036] OR CPT Code is [Q2038] OR CPT Code is [Q2037] OR CPT Code is [Q2039] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,The administration code for pneumococcal vaccine for Medicare is G0009,Medicare Pneumococcal Vaccine,The administration code for pneumococcal vaccine for Medicare is G0009,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [90670] OR CPT Code is [90732] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,The administration code for Hepatitis B vaccine for Medicare is G0010,Medicare Hepatitis B Vaccine,The administration code for Hepatitis B vaccine for Medicare is G0010,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [90739] OR CPT Code is [90740] OR CPT Code is [90743] OR CPT Code is [90744] OR CPT Code is [90746] OR CPT Code is [90747] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For Health check for newborn under 8 days old, use Z00.110",Age vs ICD-10 Discrepancy,"Health check for newborn under 8 days old, use Z00.110","Patient Age is younger than [8,days] AND ( DX Code is [Z00.00] OR DX Code is [Z00.111] OR DX Code is [Z00.121] OR DX Code is [Z00.129] OR DX Code is [Z00.01] )",Younger than condition has bug,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For  Health check for newborn 8 to 28 days old, use Z00.111",Age vs ICD-10 Discrepancy,"Health check for newborn 8 to 28 days old, use Z00.111","( Patient Age is older than [7,days] AND Patient Age is younger than [29,days] ) AND ( DX Code is [Z00.110] OR DX Code is [Z00.121] OR DX Code is [Z00.129] OR DX Code is [Z00.00] OR DX Code is [Z00.01] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For Health check (routine) for child over 28 days old, use Z00.121 or Z00.129",Age vs ICD-10 Discrepancy,"Health check for child, use Z00.121 or Z00.129","Patient Age is older than [28,days] AND Patient Age is younger than [18,years] AND ( DX Code is [Z00.110] OR DX Code is [Z00.111] OR DX Code is [Z00.00] OR DX Code is [Z00.01] )",Younger than condition has bug,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For encounter for general adult medical examination, use Z00.00 or Z00.01",Age vs ICD-10 Discrepancy,"General adult medical examination, use Z00.00 or Z00.01","Patient Age is older than [17,years] AND ( DX Code is [Z00.110] OR DX Code is [Z00.111] OR DX Code is [Z00.121] OR DX Code is [Z00.129] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99381, 99391 is used for patient's younger than 1 year",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is older than 1 year old,"( CPT Code is [99381] OR CPT Code is [99391] ) AND Patient Age is older than [1,years]",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99382, 99392 is used for patient's aged 1-4 years old",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is either younger than 1 year old or older than 4 years old,"CPT Code is [99392] OR CPT Code is [99382] AND ( Patient Age is younger than [1,years] OR Patient Age is older than [5,years] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99383, 99393 is used for patient's aged 5-11 years old",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is either younger than 5 years old or older than 11 years old,"CPT Code is [99383] OR CPT Code is [99393] AND ( Patient Age is younger than [5,years] OR Patient Age is older than [11,years] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99384, 99394 is used for patient's age 12-17 years old",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is either younger than 12 years old or older than 17 years old,"CPT Code is [99384] OR CPT Code is [99394] AND ( Patient Age is younger than [12,years] OR Patient Age is older than [17,years] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99385, 99395 is used for patient's aged 18-39 years old",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is either younger than 18 years old or older than 39 years old,"CPT Code is [99385] OR CPT Code is [99395] AND ( Patient Age is younger than [18,years] OR Patient Age is older than [39,years] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99386, 99396 is used for patient's age 40-64 years old",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is either younger than 40 years old or older than 64 years old,"CPT Code is [99386] OR CPT Code is [99396] AND ( Patient Age is younger than [40,years] OR Patient Age is older than [64,years] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99387, 99397 is used for patient's age 65 years and older",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is younger than 65 years old,"CPT Code is [99387] OR CPT Code is [99397] AND Patient Age is younger than [65,years]",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99497, 99498 should be bill with modifier 33 when billed with preventive/wellness visits",99497-99498 waive patient responsibility,"When billed on the same day as AWV (G0438, G0439) or preventive visit, use modifier -33 on 99497/99498 to waive co-insurance/deductible",CPT Code is [99497] OR CPT Code is [99498],,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Medicaid may require authorization after patient has exceeded 10 (OFFICE) visits,Medicaid Authorization,Medicaid may require authorization after patient has exceeded 10 visits,"Patient Age is older than [18,years] AND Primary Insurance Class is [MEDICAID (3)] AND Place of Service is [OFFICE (11) (9)]",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Medicaid requires authorization for Inpatient Hospital visits.,Medicaid Authorization,Medicaid requires authorization for Inpatient Hospital visits.,Primary Insurance Authorization (Presence) is [Not Present] AND Primary Insurance Class is [MEDICAID (2)] AND Place of Service is [INPATIENT HOSPITAL (21) (16)],,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Bill 87804 with 2 units for flu a and b testing,87804,Adjust units for 87804 when testing for Flu A and Flu B,CPT Code is [87804],,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Units should be adjusted for 96372 if medication was injected in multiple sites,96372,Units should be adjusted for 96372 if medication was injected in multiple sites,CPT Code is [96372],,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99221-99223, 99231-99233, 99238-99239 can only be billed in POS 21",,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99234-99236, 99234-99236 can only be billed in POS 21, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99217, 99218-99220, 99224-99226 can only be billed in POS 22",,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99304-99306, 99307-99310, 99315-99316 can only be billed in POS 31, 32, 56",Nursing Home Visit,Please review CPT vs place of service mismatch,"Place of Service is not [SKILLED NURSING FACILITY (31) (22),NURSING FACILITY (32) (23),PSYCHIATRIC RESIDENTIAL TREATMENT FACILITY (56) (35)] AND ( CPT Code is [99304] OR CPT Code is [99305] OR CPT Code is [99306] OR CPT Code is [99307] OR CPT Code is [99308] OR CPT Code is [99309] OR CPT Code is [99310] OR CPT Code is [99315] OR CPT Code is [99316] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,90460 - Do not report with 90471 or 90473,Code Conflict,"90460, 90471, and/or 90473 should not be reported together",,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,G0403-5 is used ONLY with G0402 for Medicare/Medicare adv only,IPPE EKG Screening,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,93000 isn't billed with G0402,IPPE EKG Screening,93000 should not be billed with G0402 - see code G0403,Primary Insurance Class is [MEDICARE (1)] AND CPT Code is [G0402] AND CPT Code is [93000],,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Q0091 -Collection of specimen via a pelvic exam is included in 99381–99385 and 99391-99395,Q0091 guidelines,Q0091 -Collection of specimen via a pelvic exam is included in preventive exam,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Q0091 - included in E/M codes,Q0091 guidelines,"Do not report Q0091 for obtaining a diagnostic pap smear performed due to illness, disease or a symptom",,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,G0101 - included in preventive codes,G0101 guidelines,Do not bill G0101 in addition to a preventive service reported with CPT codes 99381—99397.,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Commercial G0101,G0101 guidelines,Most commercial payers do not recognize G0101.,Primary Insurance Class is [COMMERCIAL (1)] AND CPT Code is [G0101],,,,,,,,,,,,,,,,,,,,,,,,
TRUE,UHC requires NDC,Injectable drug,UHC NDC ,,Need accounts set up with revenue centers for all J codes,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Diagnosis Code Pointer must be a number 1 through 12.,Valid DX code,Diagnosis Code Pointer must be a number 1 through 12.,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"J-codes require admin - 96372, 94640",,,,Need additional CPT conditions to be added to feature to write - requested,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Z68.XX - BMI codes should not be primary dx,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,S-codes used as primary require injury date info,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Manisfestation dx cannot be in primary position.,Valid DX code,Manisfestation dx,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,CPTs that require a QW for Medicare - CLIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Diseases classd elswhr dx's code cannot be primary,Valid Dx code,Diseases classd elswhr,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"If 90658 is coded for Medicare patient, change to Q2035",Medicare Flu Vaccine,90658 should be updated to Q2035 for Medicare patients,"Primary Insurance Class is [MEDICARE] , Medicare CMO AND CPT Code is [90658]",,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"85025, 80053, 84443=80050 ",GENERAL HEALTH PANEL,Bundle when billed to Commercial or Medicare Adv ins,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"80050= 85025, 80053, 84443 when billing to Medicare.",GENERAL HEALTH PANEL,UNBUNDLE when billed to Medicare,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,Z01.818 Encounter for other preprocedural examination must be primary if billing to Medicare.,Valid Dx code,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,99211 cannot be billed to Medicare if billed with 96372,Coding Alert,99211 cannot be billed with 96372.,"CPT Code is [99211] AND CPT Code is [96372] AND Primary Insurance Class is one of [MEDICARE (1),MEDICAID (3),MEDICAID CMO (35)]",Set up in Tanner,,,,,,,,,,,,,,,,,,,,,,,
TRUE,https://www.cms.gov/Medicare/Prevention/PrevntionGenInfo/medicare-preventive-services/MPS-QuickReferenceChart-1.html#TOBACCO,Coding Alert,When 99406/99407 are billed add dx code F17.210,CPT Code is [99406] OR CPT Code is [99407],This is set up in G&G,,,,,,,,,,,,,,,,,,,,,,,
FALSE,When UDS is billed add dx code Z79.899. ,Coding Alert,When UDS is billed add dx code Z79.899. ,CPT Code is [80305],This is set up in G&G,,,,,,,,,,,,,,,,,,,,,,,
FALSE,95117/95115 cannot be billed with 99211. ,Coding Alert,95117/95115 cannot be billed with 99211. ,CPT Code is [95115] OR CPT Code is [95117] AND CPT Code is [99211],This is set up Liberty Peds,,,,,,,,,,,,,,,,,,,,,,,
TRUE,87804 CLIA LAB,CLIA ALERT,87804 CLIA LAB,"CPT Code is [87804] AND Primary Insurance is one of [MEDICARE (222),MEDICARE CARE IMPROVEMENT (229),MEDICARE SOLUTIONS UHC (237),UNITEDHEALTHCARE GROUP MEDICARE ADVANTAG (239),MEDICARE UHC (240),MEDICARE UHC CARE IMPROV (241),UNITED HEALTH MEDICARE (351),MEDICARE UHC MEDICARE SOLUTIONS (417),MEDICARE UHC COMMUNITY PLAN (423),MEDICARE PART B SECONDARY (533),MEDICARE PART A SECONDARY (534),MEDICARE OBSERVATION (540),MEDICARE INPATIENT (553),MEDICARE ADV PLAN (561)] AND CPT Mod1 is not [QW]",Set up in Tanner,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Z Codes as Principal, First-listed Diagnosis",,https://www.aapc.com/blog/40544-z-codes-whos-on-the-first/,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,UNITS ALERT,CODING ALERT,UPDATE UNITS FOR J1885,CPT Code is [J1885] AND CPT Units is [1],Set up in Tanner,,,,,,,,,,,,,,,,,,,,,,,
TRUE,ADJUST UNITS FOR J3301,UNITS ALERT,J3301 ADJUST UNITS. NOC: TRIAMCINOLONE ACETONIDE 4 UNITS AT 10 MG EACH,CPT Code is [J3301],set up in G&G,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Medicare will deny if anatomical modifiers are present,Invalid Modifier,"Do not use anatomical modifiers on 69209, 69210. Medicare considers this code to be bilateral.","CPT code is 69209, 69210 and primary insurance class is Medicare and CPT mod1-4 = LT, RT, 50",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Medicare does not reimburse 90714, 90715 as a preventive service - only due to accident",,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Consults codes cannot be billed to Medicare, Medicare CMOs, Humana, UHC, Health First, Select",Consult Codes,Consult codes are non-covered for this payer,"If the primary insurance is one listed in the rule and CPT is 99241-99245, 99251-99255",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"Append modifier QW to CLIA waived tests for Medicare, UHC Medicare",CLIA Waived Tests,CLIA waived tests are present.  Add modifier QW to indicate a CLIA waived test.,https://www.cms.gov/Regulations-and-Guidance/Legislation/CLIA/downloads/waivetbl.pdf,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"Do not add QW to 81002, 81025, 82270, 82272, 82962, 83026, 84830, 85013, 85651 for Medicare, UHC Medicare",CLIA Waived Tests,"Modifier QW is not required for codes 81002, 81025, 82270, 82272, 82962, 83026, 84830, 85013, 85651",,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,PER PATIENT AGE THE DX Z00.110 SHOULD BE BILLED FOR PREV VISIT.,DX PREV VISIT,PER PATIENT AGE THE DX Z00.110 SHOULD BE BILLED FOR PREV VISIT.,"Patient Age is younger than [8,days] AND DX Code is not [Z00.110] AND ( CPT Code is one of [99381,99391] )",set up in Louisville,,,,,,,,,,,,,,,,,,,,,,,
TRUE,PER PATIENT AGE THE DX Z00.111 SHOULD BE BILLED WITH THE PREV VISIT.,DX PREV VISIT,PER PATIENT AGE THE DX Z00.111 SHOULD BE BILLED WITH THE PREV VISIT.,"Patient Age is younger than [8,days] AND DX Code is not [Z00.110] AND ( CPT Code is one of [99381,99391] )",set up in Louisville,,,,,,,,,,,,,,,,,,,,,,,
TRUE,External cause code cannot be used as Principal Diagnosis code.,DX'S ALERT,External cause code cannot be used as Principal Diagnosis code.,"DX Code is one of [V*,W*,,X*,,Y*]",set up in Louisville,,,,,,,,,,,,,,,,,,,,,,,
FALSE,https://www.cgsmedicare.com/pdf/drug_admin_coding.pdf,,J code is present without administration code,,,,,,,,,,,,,,,,,,,,,,,,,
